population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,5,East Asia,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,1485.85114574005,2029.1296921402802,1066.64425746407
1,All Population,5,Prevalence,413,Tokelau,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,592.76084826905,952.6776241099299,331.97985866886
1,All Population,5,Prevalence,413,Tokelau,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,920.5650729825401,1285.91000635188,636.37689575226
1,All Population,5,Prevalence,29,Tonga,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,670.85935029116,1131.5586943677101,364.04961950019003
1,All Population,5,Prevalence,29,Tonga,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,979.2940217636799,1366.17106997718,674.89368679681
1,All Population,5,Prevalence,189,United Republic of Tanzania,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,1409.36842585718,1974.03924710657,973.63239618194
1,All Population,5,Prevalence,58,Estonia,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,672.17283437093,1276.756869362,334.47179920196
1,All Population,5,Prevalence,58,Estonia,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,418.22697986621,571.24141782019,288.63218395577996
1,All Population,5,Prevalence,99,Uruguay,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,892.66829682101,1581.7136603127901,501.92648494952
1,All Population,5,Prevalence,99,Uruguay,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,845.9464632975901,1162.96928775411,598.71753576591
1,All Population,5,Prevalence,86,Italy,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,692.8641285397999,1314.06379690516,373.16078463108
1,All Population,5,Prevalence,86,Italy,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,757.69708142356,1046.48059667934,531.2681078512101
1,All Population,5,Prevalence,532,Florida,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,904.5198398594899,1582.9675983833802,499.78844631589004
1,All Population,5,Prevalence,532,Florida,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,1141.33115279752,1581.0107502709302,767.71349432072
1,All Population,5,Prevalence,134,Tropical Latin America,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,1625.78508358092,2225.05770423001,1155.92860381715
1,All Population,5,Prevalence,87,Luxembourg,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,817.4033890310401,1434.27530994194,480.41858263580997
1,All Population,5,Prevalence,87,Luxembourg,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,885.88585254688,1241.1897440076,626.43626774858
1,All Population,5,Prevalence,123,Peru,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,640.42164556045,1115.09404317471,340.44496796552
1,All Population,5,Prevalence,123,Peru,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,1692.56387241618,2319.91805659226,1217.94582021408
1,All Population,5,Prevalence,54,Slovakia,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,571.12640759926,1063.29249339447,291.06853881717
1,All Population,5,Prevalence,54,Slovakia,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,428.53675276801,586.46779793858,301.42313790328
1,All Population,5,Prevalence,94,Switzerland,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,837.8616628582299,1508.69059191521,483.84732501215
1,All Population,5,Prevalence,94,Switzerland,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,846.9734339136,1156.32518325895,621.0723029609101
1,All Population,5,Prevalence,53,Serbia,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,584.60460967557,1100.45676196624,301.98679180313
1,All Population,5,Prevalence,53,Serbia,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,453.19330422166,628.0992523784299,315.39376116741
1,All Population,5,Prevalence,42,Central Europe,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,422.10302131471,584.7985073815601,294.11643021212
1,All Population,5,Prevalence,213,Niger,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,782.09052705638,1646.35205643161,357.74653134295
1,All Population,5,Prevalence,213,Niger,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,1103.06338743508,1524.64063638564,748.2957139681
1,All Population,5,Prevalence,523,Alabama,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,863.2434188706,1469.22239113103,484.36854830091
1,All Population,5,Prevalence,523,Alabama,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,1389.76713068436,1917.4219371362599,1005.2918214701299
1,All Population,5,Prevalence,156,United Arab Emirates,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,656.7204619054099,1041.3410464901501,403.3552955397
1,All Population,5,Prevalence,156,United Arab Emirates,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,371.98050938438,510.83927332415004,265.54610423581
1,All Population,5,Prevalence,528,Colorado,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,966.74875398378,1664.9624201708398,540.55875108975
1,All Population,5,Prevalence,528,Colorado,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,1385.8737446841299,1935.3141799656598,983.86491258449
1,All Population,5,Prevalence,165,Pakistan,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,479.59206542178003,841.3654245808099,245.80548513980003
1,All Population,5,Prevalence,422,United States Virgin Islands,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,528.82431269106,961.7474373059599,279.46014201637
1,All Population,5,Prevalence,422,United States Virgin Islands,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,1800.90014574232,2485.72557646209,1314.14373706198
1,All Population,5,Prevalence,111,Dominican Republic,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,558.07851193256,963.2861186832299,294.63717378269
1,All Population,5,Prevalence,141,Egypt,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,648.07484133442,1025.19227334638,374.14455252276
1,All Population,5,Prevalence,141,Egypt,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,1759.7522384876202,2209.42646340169,1343.84463865056
1,All Population,5,Prevalence,374,Niue,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,564.07102160147,955.0613022623901,317.14514848995
1,All Population,5,Prevalence,374,Niue,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,776.12663818459,1083.41372935176,542.3899762634401
