location_name,GDP,Prevalence
Turkmenistan,5998.001743,647.39839210871
Turkmenistan,5998.001743,608.34299828772
Fiji,5842.073446,582.19879496812
Fiji,5842.073446,896.05304170628
Paraguay,5821.181995,575.55447610293
Paraguay,5821.181995,1839.49766000923
Iraq,5671.856863,573.92614577135
Iraq,5671.856863,1082.60912010333
Marshall Islands,5292.339855,581.4411431155099
Marshall Islands,5292.339855,1022.62875938138
Tuvalu,5115.13076,636.04263231155
Tuvalu,5115.13076,935.56265193295
Azerbaijan,4805.753718,579.59921555555
Azerbaijan,4805.753718,550.01508747895
Tonga,4788.833423,670.85935029116
Tonga,4788.833423,979.29402176368
Georgia,4741.283272,562.8734650074999
Georgia,4741.283272,455.6095758244
Georgia,4741.283272,912.8092626506
Georgia,4741.283272,1465.89928703382
Namibia,4731.921032,747.14719349892
Namibia,4731.921032,1144.82363973235
Armenia,4597.228874,545.6114170494101
Armenia,4597.228874,466.9650811599
Guatemala,4511.998396,725.30173081199
Guatemala,4511.998396,1246.45131182604
Algeria,4468.453419,733.5313767228
Algeria,4468.453419,1067.1416747179
Republic of Moldova,4405.334182,634.90922005735
Republic of Moldova,4405.334182,433.83767776521006
Cabo Verde,4380.781173,730.95357902179
Cabo Verde,4380.781173,971.09571161637
Samoa,4351.942349,673.16212116185
Samoa,4351.942349,964.58171095208
Mongolia,4347.546103,646.56281487093
Mongolia,4347.546103,575.61439847564
El Salvador,4320.116715,668.6925334377
El Salvador,4320.116715,1152.30993024664
Bolivia (Plurinational State of),4203.154929,625.77858378595
Bolivia (Plurinational State of),4203.154929,1807.48961750147
Jordan,4170.1144,722.3446213989901
Jordan,4170.1144,1242.5417880701
Indonesia,4106.948562,575.00860116728
Indonesia,4106.948562,389.74963718843
Sri Lanka,4081.947727,588.31946987762
Sri Lanka,4081.947727,1452.9555871090402
Iran (Islamic Republic of),3997.493545,699.97606684877
Iran (Islamic Republic of),3997.493545,1851.49806203415
Eswatini,3913.145775,699.48392252189
Eswatini,3913.145775,1156.00514589826
Palestine,3656.858271,687.51753581559
Palestine,3656.858271,1256.90324064962
Ukraine,3619.861572,620.5557702628599
Ukraine,3619.861572,422.61827318129
Bhutan,3576.879871,406.20133726694
Bhutan,3576.879871,652.29855788333
Micronesia (Federated States of),3572.659183,621.14649172347
Micronesia (Federated States of),3572.659183,980.57559150736
Tunisia,3528.872133,677.42948948794
Tunisia,3528.872133,1019.28092084198
Morocco,3508.097656,669.98550980126
Morocco,3508.097656,1098.48226555066
Viet Nam,3440.900254,567.82434123111
Viet Nam,3440.900254,264.75301207113
Philippines,3400.789498,653.43235886142
Philippines,3400.789498,651.79668807046
Vanuatu,3207.446505,623.2812810945001
Vanuatu,3207.446505,989.3269276101
Nigeria,3189.812865,805.10322928151
Nigeria,3189.812865,1095.98319957983
Egypt,2962.98892,648.07484133442
Egypt,2962.98892,1759.7522384876202
Djibouti,2837.169023,896.3487383206299
Djibouti,2837.169023,1374.11579016407
Lao People's Democratic Republic,2589.32081,580.80825149709
Lao People's Democratic Republic,2589.32081,644.90474706657
Papua New Guinea,2575.772741,680.61611282028
Papua New Guinea,2575.772741,991.8208175564
West Papua,2575.772741,602.44862144623
West Papua,2575.772741,413.30204098754
Papua,2575.772741,614.81347515468
Papua,2575.772741,420.43924115826
Venezuela (Bolivarian Republic of),2523.112752,686.2954533861999
Venezuela (Bolivarian Republic of),2523.112752,2000.92063178122
Honduras,2502.327443,712.2774166064299
Honduras,2502.327443,1250.573684446
Angola,2493.678844,780.12760399236
Angola,2493.678844,1197.34430741451
Congo,2488.4246670000002,766.30435189646
Congo,2488.4246670000002,1167.87588138458
Cambodia,2225.877055,589.22789605327
Cambodia,2225.877055,619.97178498725
Solomon Islands,2223.658909,644.6197120619601
Solomon Islands,2223.658909,1015.45640454887
Ghana,2186.658227,774.5152265571201
Ghana,2186.658227,1040.37937970585
Zimbabwe,2184.329239,711.28125265598
Zimbabwe,2184.329239,1171.98760305519
Côte d'Ivoire,2141.768362,777.7068227549701
Côte d'Ivoire,2141.768362,1086.02433094483
Bangladesh,2129.79897,354.33621846142
Bangladesh,2129.79897,610.23556537837
India,2041.428637,505.2178027443
India,2041.428637,804.98252542046
Indiana,2041.428637,903.0664372445
Indiana,2041.428637,1445.55825397582
Uzbekistan,2041.384807,601.74098673445
Uzbekistan,2041.384807,574.62771446967
Kenya,1960.408089,1507.80180226293
Kenya,1960.408089,860.74398853567
Nicaragua,1958.620515,701.7727699734401
Nicaragua,1958.620515,1212.97986883053
Sao Tome and Principe,1935.293182,760.68040196936
Sao Tome and Principe,1935.293182,1078.78493241873
Mauritania,1767.072711,1069.24169800663
Mauritania,1767.072711,809.22342168365
Kiribati,1750.997719,625.7085307487
Kiribati,1750.997719,973.9727176637
Timor-Leste,1562.364581,659.13850642718
Timor-Leste,1562.364581,696.45122594758
Cameroon,1555.226605,752.18182581084
Cameroon,1555.226605,1085.0480764611
Comoros,1510.232182,897.98857439636
Comoros,1510.232182,1393.91954611855
Senegal,1431.181289,794.5635498590999
Senegal,1431.181289,1089.62911976054
Myanmar,1425.989542,593.70976327203
Myanmar,1425.989542,600.97366226997
Kyrgyzstan,1421.999275,638.45988334538
Kyrgyzstan,1421.999275,597.48349198456
Pakistan,1390.41691,479.59206542178
Pakistan,1390.41691,716.07720197717
Haiti,1352.172042,629.62322337201
Haiti,1352.172042,2754.92396344287
Zambia,1258.986198,890.7189820623599
Zambia,1258.986198,1469.28433622287
Nepal,1203.142947,381.55318669131
Nepal,1203.142947,652.61375220509
Benin,1130.821353,771.9789744180199
Benin,1130.821353,1081.89477944817
Syrian Arab Republic,1109.53926,682.28842203131
Syrian Arab Republic,1109.53926,1182.65643909819
Lesotho,1082.057068,710.91499263516
Lesotho,1082.057068,1156.04808809667
United Republic of Tanzania,1063.32251,1409.36842585718
United Republic of Tanzania,1063.32251,889.94102151959
Guinea,1031.341465,751.3895360208301
Guinea,1031.341465,1069.9192541451698
Mali,971.9493186,776.59993291993
Mali,971.9493186,1074.6062311742598
Chad,893.3364416,768.90771251118
Chad,893.3364416,1096.58423506266
Tajikistan,871.0223729,636.88915535458
Tajikistan,871.0223729,637.14249844547
Sierra Leone,843.7125178,753.31747146334
Sierra Leone,843.7125178,1074.91545144477
Togo,826.255209,776.52837806659
Togo,826.255209,1052.43234701439
Uganda,822.17115,1014.45455300563
Uganda,822.17115,1485.46067302248
Guinea-Bissau,811.2164259,758.2990759093101
Guinea-Bissau,811.2164259,1085.72043155199
Rwanda,810.0514121,915.44746489446
Rwanda,810.0514121,1405.74809654448
Ethiopia,793.4732472,949.24718790015
Ethiopia,793.4732472,1502.70577695597
